Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1938,6,1.177,,0.683,,-0.048,-0.783,,,,1.466,,,0.43,5.94,-1.109,0
1938,7,1.177,,0.702,-0.07,-0.03,-0.764,,,,1.466,,,0.54,5.94,-1.048,0
1938,8,1.116,,0.708,-0.051,-0.018,-0.74,,,,1.448,,,0.59,5.92,-1.109,0
1938,9,4.652,,,,,,,,,,,,,,-1.048,0
1938,11,1.208,,,,,,,,,,,,,,-1.109,0
1938,12,1.177,,0.589,-0.155,-0.115,-0.819,,,,1.408,,,0.5,6.04,-1.414,0
1939,1,1.238,,0.583,-0.188,-0.152,-0.883,,,,1.466,,,0.56,5.89,-1.566,0
1939,2,1.177,,0.604,-0.173,-0.134,-0.871,,,,1.475,,,0.42,5.82,-1.414,0
1939,3,1.208,,0.604,-0.161,-0.121,-0.85,,,,1.454,,,0.48,6.03,-1.597,0
1939,4,1.421,,0.674,-0.109,-0.067,-0.81,,,,1.484,,,0.5,5.96,-1.17,0
1939,5,1.086,,0.702,-0.088,-0.036,-0.771,,,,1.472,,,0.42,5.87,-1.109,0
1939,6,0.964,,0.714,-0.054,-0.012,-0.74,,,,1.454,,,0.48,5.89,-1.048,0
1939,7,0.781,,0.702,-0.048,-0.009,-0.719,,,,1.42,,,,,-0.865,5
1939,8,1.208,,0.723,-0.033,0.001,-0.725,,,,1.448,,,0.41,5.85,-1.139,0
1939,9,1.147,,0.711,-0.039,-0.018,-0.746,,,,1.457,,,0.41,6.01,-1.17,0
1939,10,1.208,,0.689,-0.082,-0.048,-0.783,,,,1.472,,,0.56,5.87,-1.2,0
1939,11,0.964,,0.631,-0.14,-0.094,-0.819,,,,1.451,,,0.47,5.86,-1.475,0
1939,12,1.086,,0.65,-0.143,-0.097,-0.847,,,,1.497,,,0.47,5.9,-1.688,0
1940,1,1.086,,0.592,-0.188,-0.137,-0.865,,,,1.457,,,0.32,5.94,-1.322,0
1940,2,1.147,,0.674,-0.103,-0.048,-0.774,,,,1.448,,,0.43,5.9,-1.292,0
1940,3,1.025,,0.607,-0.158,-0.103,-0.813,,,,1.42,,,0.35,5.88,-1.597,0
1940,4,1.269,,0.644,-0.121,-0.06,-0.768,,,,1.411,,,0.4,5.96,-1.17,0
1940,5,1.147,,0.695,-0.051,-0.009,-0.713,,,,1.408,,,0.53,5.92,-1.078,0
1940,6,1.086,,0.708,-0.048,0.001,-0.71,,,,1.417,,,0.56,5.9,-0.957,0
1940,7,0.933,,0.683,-0.07,-0.033,-0.749,,,,1.433,,,0.5,5.93,-1.048,0
1940,8,0.994,,0.671,-0.085,-0.048,-0.771,,,,1.442,,,0.48,5.95,-1.048,0
1940,9,1.116,,0.711,-0.067,-0.027,-0.764,,,,1.475,,,0.53,5.91,-1.078,0
1940,10,1.238,,0.732,-0.067,-0.018,-0.768,,,,1.5,,,0.48,5.83,-1.139,0
1940,11,1.329,,0.668,-0.124,-0.073,-0.813,,,,1.481,,,0.46,6,-1.292,0
1940,12,1.269,,0.653,-0.124,-0.085,-0.825,,,,1.478,,,0.43,5.84,-1.292,0
1941,1,1.055,,0.619,-0.143,-0.094,-0.807,,,,1.426,,,0.42,5.84,-1.2,0
1941,2,1.055,,0.589,-0.176,-0.124,-0.838,,,,1.426,,,0.47,5.86,-1.292,0
1941,3,1.055,,0.546,-0.195,-0.152,-0.85,,,,1.396,,,0.38,5.83,-1.322,0
